target,reports,gold_positive,explicit_positive,explicit_negative,uncertain_or_indirect,not_mentioned,explicit_positive_vs_gold_0,explicit_negative_vs_gold_1,invalid_evidence_rows
ACL,58,24,22,18,11,7,3,0,0
Baker's,58,12,15,10,1,32,4,0,0
Contusion,58,19,28,9,1,20,14,1,1
Effusion,58,35,49,6,1,2,15,0,0
Fracture,58,18,16,6,2,34,4,0,0
Lateral Meniscus,58,23,20,19,10,9,3,2,1
Lateral OA,58,11,13,2,3,40,5,0,1
MCL,58,9,15,32,4,7,7,0,1
Medial Meniscus,58,26,24,17,9,8,3,0,0
Medial OA,58,15,15,3,6,34,4,0,0
PF OA,58,21,17,4,6,31,4,0,0
Synovitis,58,27,17,0,3,38,4,0,1
