target,reports,gold_positive,explicit_positive,explicit_negative,indeterminate,not_mentioned,explicit_positive_vs_gold_0,explicit_negative_vs_gold_1,invalid_evidence_rows
ACL,58,24,23,19,10,6,3,0,0
Baker's,58,12,16,10,0,32,5,0,0
Contusion,58,19,27,14,0,17,13,2,0
Effusion,58,35,49,6,0,3,15,0,0
Fracture,58,18,15,8,2,33,4,0,0
Lateral Meniscus,58,23,23,21,3,11,5,2,0
Lateral OA,58,11,9,2,0,47,2,0,0
MCL,58,9,17,32,1,8,8,0,0
Medial Meniscus,58,26,26,19,2,11,3,0,0
Medial OA,58,15,16,5,0,37,4,0,0
PF OA,58,21,18,7,0,33,5,0,0
Synovitis,58,27,17,0,0,41,4,0,0
