target,reports,gold_positive,explicit_positive,explicit_negative,indeterminate,direct_not_mentioned,related_positive,related_negative,final_not_mentioned,final_positive_vs_gold_0,final_negative_vs_gold_1,invalid_direct_evidence,invalid_related_evidence
ACL,58,24,21,22,10,5,0,0,5,3,1,0,0
Baker's,58,12,16,10,0,32,0,0,32,5,0,0,0
Contusion,58,19,26,15,1,16,0,0,16,13,2,0,0
Effusion,58,35,49,6,0,3,0,0,3,15,0,0,0
Fracture,58,18,15,10,2,31,0,0,31,4,0,0,0
Lateral Meniscus,58,23,21,20,6,11,0,0,11,5,1,0,0
Lateral OA,58,11,10,2,0,46,0,0,46,2,0,0,0
MCL,58,9,13,34,3,8,0,0,8,5,0,0,0
Medial Meniscus,58,26,25,21,1,11,0,0,11,2,1,0,0
Medial OA,58,15,14,15,1,28,0,0,28,3,0,0,0
PF OA,58,21,18,10,0,30,0,0,30,5,0,0,0
Synovitis,58,27,17,1,0,40,32,5,3,24,0,0,0
